title,year,poster,season,part,type
koguma no koro chan,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/9850.jpg,,,Anime
yumemi douji,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/104419-jMPa7F1wJdzZ.jpg,,,Anime
bunbuku chagama,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b114439-iE207BKTsvb6.png,,,Anime
penguin bouya lulu to kiki,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b186203-ES94Xk6jkd2W.jpg,,,Anime
mogura no adventure,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/19125.jpg,,,Anime
hakujaden,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b4513-CimSIpSc6u3Z.jpg,,,Anime
chuumon no ooi ryouriten,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b7621-dPVRNvNjzVHR.png,,,Anime
ou sama ni natta kitsune,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b114335-OKsqTUzI8fTd.png,,,Anime
poron guitar,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b120758-dzLTCmhq2TEc.png,,,Anime
kozaru no buranko,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b120759-VoNl2TjY1uFk.png,,,Anime
inemuri buu chan,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b120774-xTOfckVzwvIz.png,,,Anime
yu tong,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx129165-2YNAFF2oCa5n.jpg,,,Anime
diao long ji,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b186763-oRuHmhauhokT.jpg,,,Anime
hyoutan suzume,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b16007-I8ghWOBd2nq6.png,,,Anime
koneko no studio,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b6994-UFUeKKd9V7Ib.jpg,,,Anime
tanuki san ooatari,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179748-q66rs849ivMx.jpg,,,Anime
ari to hato 19Season 9,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b109330-V4X7NEXL5O3B.jpg,,,Anime
shounen sarutobi sasuke,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx4948-jCgpSVUX3srk.png,,,Anime
fashion,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b7020-9DAqHQuuFJ8Y.jpg,,,Anime
nihiki no sanma,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b7021-hNQcwszJop0L.jpg,,,Anime
mori no ongakutai,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/104215-TOZRgGiAX5O4.jpg,,,Anime
kagami,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/104409-LYgbXlqpUxiP.jpg,,,Anime
xiao kedou zhao mama,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b112305-9ZY03dqv5sE7.jpg,,,Anime
inaka nezumi to machi nezumi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b114306-syRu3hTV0zVf.png,,,Anime
kasa jizou,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b120770-5PzF0k8oh0l7.png,,,Anime
kutsuya to kobito,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b120772-6KI5uKUlv2WM.png,,,Anime
kitakaze to taiyou,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b120773-k27XnOO4Gomw.png,,,Anime
kaisen,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx145743-ANTYuD53xr97.png,,,Anime
mittsu no hanashi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/8774.jpg,,,Anime
saiyuuki,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx4481-teZlyolwFmuG.png,,,Anime
kitte no gensou,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b7032-W4I6JirHxy1S.jpg,,,Anime
acchi wa kocchi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx101819-E7b8KZXj9EFa.png,,,Anime
punpun polka,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/102378-Z6YE7dfq9r98.jpg,,,Anime
plus 50000 nen,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/104091-lnxoFeVVYSRY.jpg,,,Anime
kaguya hime,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b109352-RlaztQpFeFuR.png,,,Anime
ikedaya soudou,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx109390-bWm0A8Gz1Sps.jpg,,,Anime
nezumi no yomeiri,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx109391-R3lR84P2ZAHg.jpg,,,Anime
kamotori gonbee,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b120872-cywm1bxEpDAt.png,,,Anime
onpu,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b145750-92E1NMeAnSvn.png,,,Anime
awate tokoya,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b139002-0J4ivSxx8yV8.png,,,Anime
daremo shiranai,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b139021-ig8vmv0fjnbp.png,,,Anime
instant history,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/14211.jpg,,,Anime
qui kwai mani mani,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179230-fFN4WzQ8wJ6L.png,,,Anime
sanbiki no hachi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
tom pillibi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
anju to zushioumaru,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx7610-knPFRnDYQmHt.jpg,,,Anime
mane,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
kuma chan no picnic,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
gonpinpin no uta,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
henohenomoheji,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179238-69exixywipNh.jpg,,,Anime
akahana no tonakai,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179239-YHN7hKgzuUig.jpg,,,Anime
tana wo tsukurimashou,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
nihongo no okeiko,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179242-uV1R8HD9NZjV.jpg,,,Anime
ningen doubutsuen,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6953.jpg,,,Anime
ari to kirigirisu,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b120609-E7QuOkrs2hJp.png,,,Anime
omusubi kororin,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b120610-f5h0ucIjNBB9.png,,,Anime
goman hiki,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b121042-nermsJHsWopk.png,,,Anime
meitounao he bugaoxing,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx150610-TnXBMfkPycIM.jpg,,,Anime
kirei na boushi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
keijiban no uta,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179244-mrAirJlAGRF5.jpg,,,Anime
pinocchio no uta,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179245-O534igk0DZEH.jpg,,,Anime
moshi boku ga,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
tanoshii bunmeishi tetsu monogatari,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179749-4PPFBcfMFz6U.jpg,,,Anime
ice cream no uta,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179247-FYaU0MlzTaGy.jpg,,,Anime
ookina furudokei 19Season 2,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179248-FbFCoGTJ72Bn.jpg,,,Anime
ki no ii ahiru,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179251-e66032TZlKZT.jpg,,,Anime
arabian nights sindbad no bouken,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/7786.jpg,,,Anime
otogi manga calendar,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/14213.jpg,,,Anime
mogura no motoro,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b125322-UAPa7Zomr8wC.jpg,,,Anime
up up appliqué,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179252-86gPDvsZda7M.jpg,,,Anime
ichi ni san,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179254-VYq3h5DKzdjU.jpg,,,Anime
otogi no sekai ryoko,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/17675.jpg,,,Anime
karasu no uta,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179255-IsoobafpcUzT.jpg,,,Anime
davy crockett no uta,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179257-OZUnm0Wl8avS.jpg,,,Anime
aru machi kado no monogatari,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/1497.jpg,,,Anime
osu,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx1982-XW3AItdy1oRi.jpg,,,Anime
ekibasha,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179258-85BUALcUAJ5T.jpg,,,Anime
santa wa doko ni iru,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
bibbidi bobbidi boo,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179260-ym7Q72AlsQaO.jpg,,,Anime
warai kawasemi ni hanasu na yo,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b139035-xEbCr0aHTivl.png,,,Anime
mu di,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx98137-IXFLJnrxx0vt.jpg,,,Anime
otoko to onna to inu,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/104176-eISGzlbHCGvY.jpg,,,Anime
futari zamurai homare no kawakiri,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx109349-W7qqkwN7urGC.jpg,,,Anime
kiseki,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b111027-S9qPECsllmb7.jpg,,,Anime
jikan,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b116712-r6sFxmpGgcgY.jpg,,,Anime
shiroi zou,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b119823-aUcuywfLqn3w.png,,,Anime
cello hiki no gauche,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b119825-oZL9J8teXDMD.png,,,Anime
kongque gongzhu,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx138938-kWTPKxqFTRki.png,,,Anime
anapoko,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx177386-p894Zij3oQik.png,,,Anime
zero no hakken,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b186858-3wpC1LE2DKcr.png,,,Anime
tetsuwan atom,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/2747.jpg,,,Anime
clarinet kowashichatta,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/104381-W5XDl3GkFLHu.jpg,,,Anime
wanpaku ouji no orochi taiji,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx3905-uu3lXujtSS6M.jpg,,,Anime
isshuukan,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
haru no rondo,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
koneko no byouki,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b128023-TwSx0BjyNMIN.jpg,,,Anime
camp ryouri,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179265-YM2xyn4FdXoG.jpg,,,Anime
banana wo taberu toki no uta,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179266-MOz8EZhh2Glr.jpg,,,Anime
kisobushi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
tonchi asobi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179269-GRucxNvOH5a8.jpg,,,Anime
sennin buraku,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b8041-TKyTyUXSlP3Z.jpg,,,Anime
osaru to kagami,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179270-Z22sseYQo1k2.jpg,,,Anime
drops no uta,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179271-RDeRLxPDHg2M.jpg,,,Anime
tetsujin 28 gou,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx2686-TuhNXLgXsszW.png,,,Anime
8 man,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx5052-fsrQbKbJqNfS.png,,,Anime
ookami shounen ken,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/17521.jpg,,,Anime
oedo nihonbashi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
santa claus ni present,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179274-iN35pCcIV5Ta.jpg,,,Anime
hige no oisha san,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179276-Zh70dmOkSUSh.jpg,,,Anime
shisukon ouji,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/19981.jpg,,,Anime
wan wan chuushingura,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx9228-UvXR069uBSJy.png,,,Anime
satsujin murder,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/3743.jpg,,,Anime
danao tiangong,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx6855-1kBuuGUefbnD.jpg,,,Anime
aos,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6950.jpg,,,Anime
kiss kiss kiss,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b8663-ceeeU3VtOXZP.png,,,Anime
chanda gou,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx109351-tBvPTA6Uv59o.jpg,,,Anime
sensuikan cassiopeia,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b116710-u8uDnqWu8691.jpg,,,Anime
naita aka oni,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b119455-Si7rPIGgw0z0.png,,,Anime
cha bu duo,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx145547-8edTKevjHMks.png,,,Anime
bing shang yuxian,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b145564-rdMFeoQFQONS.png,,,Anime
hongjun qiao,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx150088-mWudWNQBtT5n.png,,,Anime
seizoki,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx177387-Of6XqpX4m7VH.png,,,Anime
anthology no,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b178307-GILbEfGknq9O.png,Season 1,,Anime
ban ye ji jiao,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b186761-bk4mTe2jM1g8.jpg,,,Anime
0 sen hayato,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/12763.jpg,,,Anime
deka chibi noppo,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
giragira to hyorohyoro to chikachika,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179279-NWhhAtVDqb80.jpg,,,Anime
dominique,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
hogaraka sonchou san,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
uso nanka iu mon ka,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179286-J1TFQgMMBF0d.jpg,,,Anime
kaeru,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b178306-C4pGSs5flD5j.jpg,,,Anime
shounen ninja kaze no fujimaru,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/13307-LahAsvEwVqMy.png,,,Anime
kirin no otenki mama san,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b114298-dK4U9r4zY4Ti.jpg,,,Anime
shounen ninja kaze no fujimaru nazo no arabiya ningyou,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/19983.jpg,,,Anime
tetsuwan atom uchuu no yuusha,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx10342-KNADJFNsd8dv.jpg,,,Anime
big x,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx9613-iJNnBrJqDD26.jpg,,,Anime
go hiki no kobuta to charleston,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b110847-PfUMQfIJVviT.jpg,,,Anime
cook no polka,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b111122-NrgoCtLIWo81.jpg,,,Anime
mama gomennasai,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b139055-aa1EGWbx20xZ.png,,,Anime
memory,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/1984-AxWxVpjQzLBB.png,,,Anime
ningyo,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/2047.jpg,,,Anime
asa ichiban hayai no wa,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
nohara de te wo tatake,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
